Ind,Population,C1,C2,C3,C4,C5,C6
QAc-W-0098,Pryor,0.005,0.007,0.974,0.004,0.006,0.003
QAc-W-0099,Pryor,0.014,0.03,0.808,0.121,0.023,0.004
QAc-W-0100,Pryor,0.004,0.006,0.971,0.01,0.006,0.003
QAc-W-0101,Pryor,0.003,0.005,0.94,0.011,0.007,0.033
QAc-W-0104,Pryor,0.004,0.02,0.936,0.027,0.01,0.004
QAc-W-0105,Pryor,0.011,0.004,0.968,0.005,0.008,0.005
QAc-W-0106,Pryor,0.053,0.009,0.901,0.013,0.018,0.005
QAc-W-0107,Pryor,0.004,0.004,0.978,0.005,0.004,0.006
QAc-W-0108,Pryor,0.002,0.003,0.982,0.004,0.003,0.005
QAc-W-0109,Pryor,0.007,0.013,0.943,0.006,0.011,0.02
QAc-W-0110,Pryor,0.006,0.011,0.316,0.047,0.612,0.008
QAc-W-0111,Pryor,0.006,0.005,0.97,0.005,0.009,0.005
QAc-W-0112,Pryor,0.009,0.012,0.942,0.019,0.014,0.004
QAc-W-0113,Sugar_Loaf,0.004,0.006,0.005,0.971,0.01,0.004
QAc-W-0114,Sugar_Loaf,0.009,0.014,0.015,0.953,0.005,0.004
QAc-W-0115,Sugar_Loaf,0.005,0.003,0.006,0.973,0.009,0.005
QAc-W-0116,Sugar_Loaf,0.017,0.016,0.005,0.941,0.018,0.002
QAc-W-0117,Sugar_Loaf,0.003,0.008,0.003,0.976,0.007,0.004
QAc-W-0118,Sugar_Loaf,0.004,0.005,0.013,0.952,0.005,0.02
QAc-W-0119,Sugar_Loaf,0.008,0.006,0.004,0.968,0.007,0.007
QAc-W-0120,Sugar_Loaf,0.003,0.009,0.006,0.96,0.01,0.011
QAc-W-0121,Sugar_Loaf,0.003,0.009,0.003,0.946,0.007,0.031
QAc-W-0122,Sugar_Loaf,0.005,0.023,0.005,0.95,0.013,0.004
QAc-W-0123,Sugar_Loaf,0.011,0.028,0.016,0.922,0.011,0.012
QAc-W-0124,Sugar_Loaf,0.011,0.006,0.039,0.873,0.043,0.028
QAc-W-0125,Sugar_Loaf,0.011,0.008,0.013,0.954,0.005,0.008
QAc-W-0126,Sugar_Loaf,0.011,0.012,0.02,0.941,0.009,0.007
QAc-W-0127,Sugar_Loaf,0.005,0.005,0.004,0.976,0.007,0.004
QAc-W-0128,Sugar_Loaf,0.003,0.011,0.032,0.931,0.012,0.011
QAc-W-0129,Sugar_Loaf,0.005,0.021,0.005,0.9,0.06,0.007
QAc-W-0130,Sugar_Loaf,0.003,0.007,0.007,0.958,0.019,0.006
QAc-W-0131,Sugar_Loaf,0.037,0.009,0.005,0.94,0.005,0.005
QAc-W-0132,Sugar_Loaf,0.022,0.007,0.016,0.88,0.029,0.048
QAc-W-0133,Sugar_Loaf,0.007,0.016,0.077,0.705,0.006,0.189
QAc-W-0134,Sugar_Loaf,0.005,0.006,0.004,0.976,0.005,0.004
QAc-W-0135,Sugar_Loaf,0.003,0.007,0.005,0.915,0.057,0.013
QAc-W-0136,Sugar_Loaf,0.011,0.004,0.003,0.973,0.005,0.003
QAc-W-0137,Sugar_Loaf,0.005,0.003,0.002,0.981,0.005,0.003
QAc-W-0138,Sugar_Loaf,0.005,0.003,0.003,0.98,0.006,0.003
QAc-W-0139,Sugar_Loaf,0.011,0.009,0.051,0.853,0.053,0.024
QAc-W-0140,Sugar_Loaf,0.003,0.055,0.007,0.887,0.043,0.005
QAc-W-0141,Sugar_Loaf,0.005,0.015,0.006,0.904,0.057,0.014
QAc-W-0142,Sugar_Loaf,0.003,0.004,0.004,0.978,0.005,0.007
QAc-W-0143,Sugar_Loaf,0.004,0.006,0.007,0.974,0.006,0.003
QAc-W-0144,Sugar_Loaf,0.008,0.059,0.005,0.917,0.008,0.003
QAc-W-0145,Sugar_Loaf,0.003,0.006,0.003,0.98,0.004,0.003
QAc-W-0146,Sugar_Loaf,0.006,0.004,0.006,0.963,0.017,0.004
QAc-W-0147,Sugar_Loaf,0.003,0.003,0.005,0.981,0.004,0.003
QAc-W-0148,Sugar_Loaf,0.007,0.004,0.003,0.973,0.009,0.005
QAc-W-0149,Sugar_Loaf,0.012,0.02,0.01,0.945,0.009,0.004
QAc-W-0150,Sugar_Loaf,0.012,0.007,0.015,0.893,0.067,0.006
QAc-W-0151,Sugar_Loaf,0.007,0.006,0.006,0.962,0.014,0.005
QAc-W-0152,Sugar_Loaf,0.004,0.006,0.004,0.975,0.005,0.006
QAc-W-0153,Sugar_Loaf,0.006,0.652,0.056,0.084,0.19,0.013
QAc-W-0154,Sugar_Loaf,0.003,0.009,0.004,0.96,0.021,0.003
QAc-W-0155,Sugar_Loaf,0.003,0.004,0.003,0.981,0.005,0.004
QAc-W-0156,Sugar_Loaf,0.014,0.005,0.077,0.849,0.05,0.005
QAc-W-0157,Sugar_Loaf,0.03,0.032,0.003,0.913,0.012,0.01
QAc-W-0158,Sugar_Loaf,0.005,0.005,0.027,0.901,0.047,0.016
QAc-W-0159,Sugar_Loaf,0.008,0.007,0.005,0.966,0.008,0.006
QAc-W-0160,Sugar_Loaf,0.006,0.005,0.006,0.954,0.025,0.004
QAc-W-0161,Sugar_Loaf,0.091,0.009,0.004,0.843,0.05,0.004
QAc-W-0162,Sugar_Loaf,0.03,0.019,0.003,0.912,0.004,0.031
QAc-W-0163,Sugar_Loaf,0.006,0.026,0.004,0.953,0.007,0.005
QAc-W-0164,Sugar_Loaf,0.007,0.006,0.004,0.974,0.004,0.006
QAc-W-0165,Sugar_Loaf,0.009,0.008,0.003,0.949,0.006,0.024
QAc-W-0166,Sugar_Loaf,0.006,0.005,0.004,0.961,0.019,0.005
QAc-W-0167,Kessler,0.007,0.943,0.018,0.017,0.009,0.007
QAc-W-0168,Kessler,0.033,0.139,0.02,0.605,0.046,0.157
QAc-W-0169,Kessler,0.004,0.799,0.004,0.018,0.165,0.01
QAc-W-0170,Kessler,0.004,0.935,0.008,0.023,0.025,0.005
QAc-W-0171,Kessler,0.013,0.947,0.012,0.014,0.008,0.006
QAc-W-0172,Kessler,0.018,0.847,0.01,0.062,0.06,0.003
QAc-W-0173,Kessler,0.018,0.549,0.008,0.217,0.203,0.005
QAc-W-0174,Kessler,0.004,0.872,0.007,0.091,0.015,0.011
