Ind,Population,C1,C2,C3,C4,C5,C6,C7,C8
QAc-W-0032,Porter,0.002,0.966,0.009,0.005,0.003,0.008,0.004,0.002
QAc-W-0033,Porter,0.005,0.695,0.037,0.222,0.007,0.021,0.01,0.005
QAc-W-0034,Porter,0.004,0.953,0.007,0.006,0.017,0.005,0.004,0.003
QAc-W-0035,Porter,0.023,0.868,0.036,0.024,0.007,0.005,0.017,0.02
QAc-W-0036,Porter,0.004,0.925,0.009,0.006,0.009,0.038,0.003,0.005
QAc-W-0037,Porter,0.024,0.935,0.006,0.006,0.004,0.012,0.009,0.004
QAc-W-0038,Porter,0.013,0.91,0.009,0.018,0.012,0.012,0.004,0.022
QAc-W-0039,Porter,0.02,0.903,0.007,0.009,0.015,0.03,0.01,0.007
QAc-W-0040,Porter,0.01,0.623,0.182,0.14,0.007,0.019,0.009,0.009
QAc-W-0041,Porter,0.017,0.846,0.013,0.03,0.031,0.005,0.054,0.004
QAc-W-0042,Magazine,0.023,0.021,0.007,0.031,0.702,0.194,0.013,0.008
QAc-W-0043,Magazine,0.033,0.02,0.005,0.011,0.908,0.006,0.008,0.009
QAc-W-0044,Magazine,0.022,0.129,0.086,0.029,0.418,0.267,0.006,0.043
QAc-W-0045,Magazine,0.01,0.01,0.007,0.013,0.934,0.015,0.007,0.005
QAc-W-0046,Magazine,0.018,0.015,0.006,0.009,0.926,0.01,0.013,0.004
QAc-W-0047,Magazine,0.009,0.034,0.017,0.008,0.876,0.027,0.003,0.026
QAc-W-0048,Magazine,0.004,0.013,0.004,0.012,0.918,0.039,0.006,0.004
QAc-W-0049,Magazine,0.005,0.006,0.005,0.008,0.912,0.055,0.007,0.003
QAc-W-0050,Magazine,0.008,0.006,0.017,0.482,0.461,0.006,0.015,0.006
QAc-W-0051,Magazine,0.008,0.015,0.007,0.536,0.351,0.021,0.009,0.052
QAc-W-0052,Magazine,0.004,0.005,0.003,0.003,0.003,0.977,0.002,0.003
QAc-W-0053,Magazine,0.003,0.012,0.009,0.006,0.953,0.009,0.004,0.005
QAc-W-0054,Magazine,0.067,0.012,0.062,0.681,0.05,0.041,0.006,0.082
QAc-W-0055,Magazine,0.345,0.007,0.026,0.362,0.094,0.006,0.039,0.121
QAc-W-0056,Magazine,0.007,0.038,0.011,0.887,0.019,0.007,0.015,0.016
QAc-W-0057,Magazine,0.005,0.014,0.012,0.434,0.311,0.008,0.059,0.157
QAc-W-0058,Magazine,0.013,0.005,0.004,0.206,0.556,0.006,0.185,0.025
QAc-W-0059,Magazine,0.004,0.003,0.003,0.003,0.977,0.004,0.003,0.004
QAc-W-0060,Magazine,0.011,0.021,0.008,0.009,0.008,0.05,0.003,0.89
QAc-W-0061,Magazine,0.09,0.022,0.04,0.035,0.047,0.004,0.015,0.745
QAc-W-0062,Magazine,0.009,0.004,0.007,0.004,0.003,0.015,0.006,0.952
QAc-W-0063,Magazine,0.011,0.009,0.015,0.012,0.005,0.012,0.01,0.926
QAc-W-0064,Magazine,0.016,0.01,0.008,0.007,0.004,0.004,0.007,0.944
QAc-W-0065,Magazine,0.006,0.013,0.028,0.026,0.015,0.005,0.006,0.9
QAc-W-0066,Magazine,0.98,0.003,0.002,0.002,0.002,0.002,0.004,0.004
QAc-W-0067,Magazine,0.98,0.002,0.003,0.003,0.002,0.003,0.003,0.003
QAc-W-0068,Magazine,0.98,0.003,0.002,0.002,0.002,0.002,0.003,0.004
QAc-W-0069,Magazine,0.977,0.003,0.003,0.003,0.002,0.002,0.004,0.006
QAc-W-0070,Magazine,0.595,0.003,0.003,0.002,0.002,0.002,0.003,0.389
QAc-W-0071,Magazine,0.268,0.004,0.004,0.005,0.004,0.004,0.014,0.697
QAc-W-0072,Magazine,0.005,0.013,0.127,0.014,0.003,0.004,0.008,0.826
QAc-W-0073,Magazine,0.004,0.008,0.007,0.01,0.04,0.007,0.006,0.918
QAc-W-0074,Magazine,0.005,0.003,0.004,0.003,0.003,0.003,0.004,0.975
QAc-W-0075,Magazine,0.016,0.003,0.003,0.003,0.003,0.003,0.005,0.965
QAc-W-0076,Magazine,0.004,0.004,0.02,0.005,0.004,0.003,0.007,0.953
QAc-W-0077,Magazine,0.139,0.006,0.005,0.007,0.009,0.004,0.004,0.827
QAc-W-0078,Pryor,0.039,0.049,0.148,0.117,0.009,0.015,0.613,0.009
QAc-W-0079,Pryor,0.026,0.011,0.011,0.006,0.008,0.005,0.925,0.008
QAc-W-0080,Pryor,0.005,0.028,0.005,0.01,0.011,0.002,0.936,0.003
QAc-W-0081,Pryor,0.003,0.006,0.004,0.005,0.004,0.007,0.966,0.005
QAc-W-0082,Pryor,0.003,0.006,0.005,0.454,0.157,0.002,0.367,0.006
QAc-W-0083,Pryor,0.013,0.015,0.033,0.009,0.009,0.011,0.853,0.055
QAc-W-0084,Pryor,0.004,0.005,0.003,0.004,0.003,0.006,0.972,0.003
QAc-W-0085,Pryor,0.005,0.003,0.004,0.005,0.003,0.004,0.973,0.003
QAc-W-0086,Pryor,0.006,0.005,0.009,0.006,0.004,0.003,0.963,0.004
QAc-W-0087,Pryor,0.008,0.006,0.013,0.008,0.009,0.003,0.95,0.003
QAc-W-0088,Pryor,0.004,0.005,0.007,0.031,0.038,0.004,0.908,0.004
QAc-W-0089,Pryor,0.007,0.007,0.003,0.004,0.004,0.003,0.969,0.004
QAc-W-0090,Pryor,0.006,0.006,0.003,0.005,0.004,0.003,0.97,0.003
QAc-W-0091,Pryor,0.005,0.006,0.009,0.019,0.011,0.009,0.932,0.009
QAc-W-0092,Pryor,0.008,0.039,0.006,0.007,0.007,0.249,0.681,0.004
QAc-W-0093,Pryor,0.002,0.089,0.047,0.096,0.051,0.008,0.701,0.006
QAc-W-0094,Pryor,0.003,0.037,0.01,0.059,0.02,0.251,0.581,0.038
QAc-W-0095,Pryor,0.003,0.017,0.007,0.009,0.01,0.044,0.89,0.02
QAc-W-0096,Pryor,0.006,0.025,0.017,0.039,0.025,0.102,0.732,0.052
QAc-W-0097,Pryor,0.007,0.069,0.006,0.11,0.139,0.007,0.654,0.007
QAc-W-0098,Pryor,0.003,0.006,0.004,0.007,0.01,0.005,0.962,0.003
QAc-W-0099,Pryor,0.004,0.023,0.077,0.212,0.017,0.011,0.65,0.006
QAc-W-0100,Pryor,0.003,0.005,0.008,0.013,0.005,0.003,0.959,0.003
QAc-W-0101,Pryor,0.037,0.006,0.012,0.007,0.005,0.003,0.923,0.006
QAc-W-0104,Pryor,0.003,0.008,0.023,0.013,0.018,0.004,0.924,0.006
QAc-W-0105,Pryor,0.004,0.008,0.005,0.007,0.003,0.013,0.955,0.004
QAc-W-0106,Pryor,0.006,0.02,0.009,0.036,0.005,0.061,0.86,0.004
QAc-W-0107,Pryor,0.004,0.003,0.004,0.004,0.003,0.004,0.966,0.012
QAc-W-0108,Pryor,0.005,0.003,0.003,0.003,0.003,0.002,0.974,0.007
QAc-W-0109,Pryor,0.024,0.012,0.005,0.009,0.015,0.006,0.922,0.006
QAc-W-0110,Pryor,0.012,0.547,0.043,0.095,0.009,0.005,0.281,0.008
QAc-W-0111,Pryor,0.006,0.01,0.004,0.007,0.005,0.006,0.958,0.004
QAc-W-0112,Pryor,0.004,0.015,0.021,0.019,0.01,0.008,0.919,0.004
QAc-W-0113,Sugar_Loaf,0.004,0.012,0.956,0.008,0.006,0.004,0.006,0.005
QAc-W-0114,Sugar_Loaf,0.005,0.005,0.939,0.009,0.016,0.007,0.016,0.004
QAc-W-0115,Sugar_Loaf,0.005,0.008,0.962,0.005,0.003,0.005,0.006,0.006
QAc-W-0116,Sugar_Loaf,0.002,0.015,0.938,0.01,0.013,0.015,0.004,0.003
QAc-W-0117,Sugar_Loaf,0.004,0.006,0.966,0.007,0.007,0.003,0.003,0.004
QAc-W-0118,Sugar_Loaf,0.018,0.006,0.91,0.009,0.005,0.004,0.014,0.034
QAc-W-0119,Sugar_Loaf,0.008,0.006,0.959,0.008,0.004,0.007,0.004,0.003
QAc-W-0120,Sugar_Loaf,0.012,0.01,0.933,0.02,0.007,0.003,0.006,0.01
QAc-W-0121,Sugar_Loaf,0.044,0.006,0.915,0.012,0.007,0.003,0.003,0.01
QAc-W-0122,Sugar_Loaf,0.003,0.012,0.933,0.019,0.018,0.004,0.005,0.006
QAc-W-0123,Sugar_Loaf,0.01,0.01,0.893,0.035,0.016,0.013,0.011,0.013
QAc-W-0124,Sugar_Loaf,0.013,0.06,0.679,0.027,0.004,0.011,0.046,0.161
QAc-W-0125,Sugar_Loaf,0.007,0.005,0.947,0.008,0.007,0.009,0.012,0.005
QAc-W-0126,Sugar_Loaf,0.006,0.007,0.908,0.031,0.012,0.01,0.019,0.008
QAc-W-0127,Sugar_Loaf,0.004,0.005,0.964,0.008,0.005,0.004,0.003,0.006
QAc-W-0128,Sugar_Loaf,0.013,0.011,0.903,0.011,0.011,0.003,0.043,0.006
QAc-W-0129,Sugar_Loaf,0.006,0.049,0.864,0.037,0.02,0.005,0.005,0.013
QAc-W-0130,Sugar_Loaf,0.007,0.019,0.948,0.008,0.007,0.003,0.006,0.004
QAc-W-0131,Sugar_Loaf,0.004,0.005,0.892,0.034,0.005,0.045,0.005,0.009
QAc-W-0132,Sugar_Loaf,0.052,0.025,0.849,0.012,0.005,0.019,0.014,0.023
QAc-W-0133,Sugar_Loaf,0.11,0.006,0.414,0.396,0.006,0.006,0.047,0.015
QAc-W-0134,Sugar_Loaf,0.004,0.004,0.97,0.004,0.004,0.005,0.004,0.005
QAc-W-0135,Sugar_Loaf,0.01,0.061,0.89,0.008,0.007,0.003,0.005,0.016
QAc-W-0136,Sugar_Loaf,0.003,0.005,0.969,0.005,0.003,0.009,0.003,0.004
QAc-W-0137,Sugar_Loaf,0.003,0.004,0.975,0.003,0.003,0.005,0.002,0.004
QAc-W-0138,Sugar_Loaf,0.004,0.005,0.974,0.004,0.003,0.004,0.002,0.004
QAc-W-0139,Sugar_Loaf,0.005,0.033,0.639,0.015,0.005,0.008,0.035,0.261
QAc-W-0140,Sugar_Loaf,0.005,0.037,0.858,0.013,0.075,0.003,0.006,0.004
QAc-W-0141,Sugar_Loaf,0.017,0.061,0.855,0.032,0.018,0.004,0.005,0.007
QAc-W-0142,Sugar_Loaf,0.006,0.003,0.968,0.005,0.004,0.002,0.004,0.008
QAc-W-0143,Sugar_Loaf,0.003,0.005,0.959,0.011,0.008,0.003,0.006,0.005
QAc-W-0144,Sugar_Loaf,0.003,0.007,0.823,0.026,0.125,0.006,0.005,0.005
QAc-W-0145,Sugar_Loaf,0.003,0.003,0.964,0.013,0.005,0.004,0.003,0.005
QAc-W-0146,Sugar_Loaf,0.004,0.012,0.963,0.005,0.003,0.005,0.005,0.003
QAc-W-0147,Sugar_Loaf,0.003,0.004,0.973,0.004,0.003,0.003,0.004,0.007
QAc-W-0148,Sugar_Loaf,0.003,0.006,0.968,0.004,0.003,0.006,0.003,0.006
QAc-W-0149,Sugar_Loaf,0.003,0.008,0.906,0.019,0.039,0.011,0.009,0.005
QAc-W-0150,Sugar_Loaf,0.008,0.053,0.89,0.012,0.006,0.011,0.015,0.006
QAc-W-0151,Sugar_Loaf,0.004,0.012,0.957,0.006,0.005,0.005,0.006,0.004
QAc-W-0152,Sugar_Loaf,0.005,0.005,0.964,0.005,0.005,0.003,0.003,0.009
QAc-W-0153,Sugar_Loaf,0.006,0.048,0.027,0.835,0.01,0.005,0.033,0.037
QAc-W-0154,Sugar_Loaf,0.003,0.038,0.907,0.035,0.005,0.003,0.004,0.004
QAc-W-0155,Sugar_Loaf,0.003,0.005,0.974,0.004,0.003,0.003,0.003,0.005
QAc-W-0156,Sugar_Loaf,0.004,0.041,0.851,0.01,0.004,0.013,0.074,0.004
QAc-W-0157,Sugar_Loaf,0.009,0.012,0.828,0.086,0.013,0.034,0.003,0.015
QAc-W-0158,Sugar_Loaf,0.021,0.042,0.887,0.006,0.004,0.005,0.029,0.007
QAc-W-0159,Sugar_Loaf,0.007,0.007,0.957,0.007,0.005,0.009,0.005,0.003
QAc-W-0160,Sugar_Loaf,0.003,0.031,0.938,0.009,0.003,0.005,0.005,0.007
QAc-W-0161,Sugar_Loaf,0.004,0.043,0.813,0.014,0.008,0.111,0.004,0.003
QAc-W-0162,Sugar_Loaf,0.005,0.003,0.789,0.008,0.017,0.015,0.003,0.159
QAc-W-0163,Sugar_Loaf,0.004,0.005,0.946,0.016,0.017,0.005,0.003,0.004
QAc-W-0164,Sugar_Loaf,0.005,0.004,0.958,0.008,0.004,0.006,0.004,0.011
QAc-W-0165,Sugar_Loaf,0.033,0.006,0.883,0.051,0.006,0.009,0.002,0.01
QAc-W-0166,Sugar_Loaf,0.005,0.021,0.95,0.006,0.005,0.005,0.003,0.006
