Ind,Botanic_Garden,Wild_Source,First_Pop,First_Per,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0279,/FGT,Porter,Magazine,99.653,Pryor,0.338,Porter,0.009,Sugar_Loaf,0
QAc-G-0280,/FGT,Porter,Magazine,99.864,Pryor,0.121,Porter,0.015,Sugar_Loaf,0
QAc-G-0281,/FGT,Pryor,Pryor,92.168,Magazine,7.747,Porter,0.084,Sugar_Loaf,0.001
QAc-G-0283,/MFBG,Pryor,Pryor,66.111,Magazine,19.37,Porter,12.248,Sugar_Loaf,2.271
QAc-G-0285,/CBG,NA,Magazine,93.374,Pryor,4.562,Porter,2.064,Sugar_Loaf,0.001
QAc-G-0286,/CBG,NA,Pryor,93.86,Magazine,6.027,Porter,0.113,Sugar_Loaf,0
QAc-G-0287,/CBG,NA,Pryor,85.818,Magazine,13.701,Porter,0.48,Sugar_Loaf,0
QAc-G-0288,/CBG,NA,Magazine,97.962,Pryor,2.012,Porter,0.027,Sugar_Loaf,0
QAc-G-0289,/CBG,NA,Pryor,68.472,Magazine,30.652,Porter,0.876,Sugar_Loaf,0
QAc-G-0290,/CBG,NA,Magazine,44.144,Pryor,33.404,Porter,22.453,Sugar_Loaf,0
QAc-G-0291,/CBG,NA,Pryor,65.36,Magazine,34.151,Porter,0.489,Sugar_Loaf,0
QAc-G-0292,/CBG,NA,Magazine,98.653,Pryor,1.205,Porter,0.142,Sugar_Loaf,0
QAc-G-0293,/CBG,NA,Magazine,93.938,Pryor,6.048,Porter,0.013,Sugar_Loaf,0
QAc-G-0294,/CBG,NA,Porter,63.695,Magazine,35.409,Sugar_Loaf,0.895,Pryor,0
QAc-G-0295,/CBG,NA,Magazine,99.84,Pryor,0.138,Porter,0.021,Sugar_Loaf,0.001
QAc-G-0296,/CBG,NA,Pryor,77.522,Magazine,22.086,Porter,0.337,Sugar_Loaf,0.054
QAc-G-0297,/CBG,NA,Magazine,94.926,Porter,3.63,Pryor,1.436,Sugar_Loaf,0.007
QAc-G-0298,/CBG,NA,Porter,80.167,Magazine,19.589,Pryor,0.217,Sugar_Loaf,0.027
QAc-G-0299,/CBG,NA,Magazine,98.067,Porter,1.581,Pryor,0.348,Sugar_Loaf,0.003
QAc-G-0300,/CBG,NA,Porter,83.223,Pryor,12.263,Magazine,4.406,Sugar_Loaf,0.108
QAc-G-0301,/CBG,NA,Magazine,99.957,Pryor,0.04,Porter,0.003,Sugar_Loaf,0
QAc-G-0302,/CBG,NA,Magazine,90.369,Porter,9.524,Sugar_Loaf,0.09,Pryor,0.017
QAc-G-0303,/CBG,NA,Magazine,89.328,Porter,9.83,Pryor,0.706,Sugar_Loaf,0.136
QAc-G-0304,/CBG,NA,Magazine,84.354,Pryor,15.321,Porter,0.325,Sugar_Loaf,0
QAc-G-0305,/CBG,NA,Magazine,99.91,Pryor,0.089,Porter,0.001,Sugar_Loaf,0
QAc-G-0306,/CBG,NA,Magazine,53.078,Pryor,44.697,Porter,2.224,Sugar_Loaf,0.001
QAc-G-0307,/CBG,NA,Magazine,83.873,Pryor,16.068,Porter,0.057,Sugar_Loaf,0.003
QAc-G-0308,/CBG,NA,Magazine,99.704,Pryor,0.277,Sugar_Loaf,0.014,Porter,0.006
QAc-G-0309,/CBG,NA,Pryor,96.132,Magazine,3.817,Porter,0.051,Sugar_Loaf,0
QAc-G-0310,/CBG,NA,Pryor,99.731,Magazine,0.172,Porter,0.097,Sugar_Loaf,0
QAc-G-0311,/CBG,NA,Pryor,98.182,Magazine,1.808,Porter,0.008,Sugar_Loaf,0.001
QAc-G-0312,/CBG,NA,Magazine,99.893,Pryor,0.104,Sugar_Loaf,0.003,Porter,0
QAc-G-0313,/CBG,NA,Porter,38.421,Sugar_Loaf,36.977,Pryor,14.082,Magazine,10.52
QAc-G-0314,/CBG,NA,Porter,93.012,Magazine,6.632,Sugar_Loaf,0.299,Pryor,0.057
QAc-G-0315,/CBG,NA,Porter,98.315,Pryor,1.683,Sugar_Loaf,0.002,Magazine,0
QAc-G-0316,/CBG,NA,Pryor,66.494,Porter,26.943,Magazine,6.559,Sugar_Loaf,0.005
